order_id;date;status;shipping;shipping_cost;product_code 1;product_name 1;product_discount 1;product_price 1;product_quantity 1;product_value 1;product_code 2;product_name 2;product_discount 2;product_price 2;product_quantity 2;product_value 2;product_code 3;product_name 3;product_discount 3;product_price 3;product_quantity 3;product_value 3;product_code 4;product_name 4;product_discount 4;product_price 4;product_quantity 4;product_value 4;product_code 5;product_name 5;product_discount 5;product_price 5;product_quantity 5;product_value 5;product_code 6;product_name 6;product_discount 6;product_price 6;product_quantity 6;product_value 6;product_code 7;product_name 7;product_discount 7;product_price 7;product_quantity 7;product_value 7;product_code 8;product_name 8;product_discount 8;product_price 8;product_quantity 8;product_value 8;product_code 9;product_name 9;product_discount 9;product_price 9;product_quantity 9;product_value 9;product_code 10;product_name 10;product_discount 10;product_price 10;product_quantity 10;product_value 10;product_code 11;product_name 11;product_discount 11;product_price 11;product_quantity 11;product_value 11;product_code 12;product_name 12;product_discount 12;product_price 12;product_quantity 12;product_value 12;product_code 13;product_name 13;product_discount 13;product_price 13;product_quantity 13;product_value 13;product_code 14;product_name 14;product_discount 14;product_price 14;product_quantity 14;product_value 14;product_code 15;product_name 15;product_discount 15;product_price 15;product_quantity 15;product_value 15;product_code 16;product_name 16;product_discount 16;product_price 16;product_quantity 16;product_value 16;product_code 17;product_name 17;product_discount 17;product_price 17;product_quantity 17;product_value 17;product_code 18;product_name 18;product_discount 18;product_price 18;product_quantity 18;product_value 18;product_code 19;product_name 19;product_discount 19;product_price 19;product_quantity 19;product_value 19;product_code 20;product_name 20;product_discount 20;product_price 20;product_quantity 20;product_value 20;product_code 21;product_name 21;product_discount 21;product_price 21;product_quantity 21;product_value 21;product_code 22;product_name 22;product_discount 22;product_price 22;product_quantity 22;product_value 22;sum
3;2014-04-04 13:22:48;PRZESYŁKA WYSŁANA;Kurier DPD;15.00;9788375692846;Chleb z Nieba. Spotkajmy się z Jezusem. + film;0.0000;34.90;1;34.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.90
24;2014-12-11 15:35:53;PRZESYŁKA WYSŁANA;Kurier DPD;12.00;9788377972922;Ewangelia 2015. Droga, Prawda i Życie. Duży format;0.0000;20.00;1;20;9788377972915;Ewangelia 2015. Droga, Prawda i Życie. Oprawa twarda. Mały format;0.0000;12.00;3;36;9788361989394;Rozważania o psalmach;0.0000;29.90;1;29.9;9788375691986;Ojciec Pio. Ilustrowana biografia św. stygmatyka.;0.0000;29.90;1;29.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127.80
35;2015-02-09 08:16:37;PRZESYŁKA WYSŁANA;Kurier DPD;12.00;500;Zakładka Patronalna św Józef;0.0000;0.50;3;1.5;506;Zakładka Dla Kierowców;0.0000;0.50;5;2.5;505;Zakładka Litania Do Matki Boskiej;0.0000;0.50;3;1.5;503;Zakładka modlitwy do Ducha Świętego;0.0000;0.50;3;1.5;504;Zakładka Jezu ufam Tobie;0.0000;0.50;2;1;492;Zakładka Patronalna Dla Dziecka;0.0000;0.50;3;1.5;501;Zakładka Patronalna Matka Boska;0.0000;0.50;3;1.5;491;Zakładka Patronalna Modlitwa Pięciu Palców;0.0000;0.50;5;2.5;495;Zakładka Patronalna Modlitwy do Aniołów;0.0000;0.50;3;1.5;494;Zakładka Patronalna Modlitwy Poranna i Wieczorna;0.0000;0.50;2;1;493;Zakładka Patronalna św Michał Archanioł;0.0000;0.50;2;1;496;Zakładka Patronalna św Charbel;0.0000;0.50;5;2.5;502;Zakładka Patronalna św Jan Paweł II;0.0000;0.50;1;0.5;497;Zakładka Patronalna św Ojciec Pio;0.0000;0.50;3;1.5;499;Zakładka Patronalna św Teresa;0.0000;0.50;3;1.5;490;Zakładka Patronalna św. Jan XXIII;0.0000;0.50;3;1.5;507;Zakładka św Juda Tadeusz;0.0000;0.50;3;1.5;508;Zakładka św Rita;0.0000;0.50;3;1.5;498;Zakładka Tajemnice Różańca;0.0000;0.50;5;2.5;9788364882029;Nowenna w trudnych sprawach do Matki Bożej Rozwiązującej Węzły;0.0000;3.50;3;10.5;;;;;;;;;;;;;52.50
